packet_id,send_time_s,recv_time_s,latency_s,expected_id,lost
306,67.432,7.594469785690308,-59.837530214309695,306,False
307,67.632,7.697588920593262,-59.93441107940674,307,False
308,67.832,7.799233675003052,-60.03276632499694,308,False
309,68.032,7.892175674438477,-60.13982432556152,309,False
310,68.232,7.994635581970215,-60.237364418029784,310,False
311,68.432,8.091959714889526,-60.340040285110476,311,False
312,68.632,8.191978931427002,-60.440021068573,312,False
313,68.832,8.292192935943604,-60.53980706405639,313,False
314,69.032,8.391974925994873,-60.64002507400512,314,False
315,69.232,8.492121696472168,-60.73987830352783,315,False
316,69.432,8.592111825942993,-60.83988817405701,316,False
317,69.632,8.694117784500122,-60.93788221549988,317,False
318,69.832,8.792338848114014,-61.03966115188598,318,False
319,70.032,8.891751766204834,-61.14024823379516,319,False
320,70.232,8.992343664169312,-61.23965633583069,320,False
321,70.432,9.091807842254639,-61.34019215774536,321,False
322,70.632,9.192016839981079,-61.439983160018926,322,False
323,70.832,9.292044639587402,-61.53995536041259,323,False
324,71.032,9.391827821731567,-61.64017217826843,324,False
325,71.232,9.49194598197937,-61.74005401802063,325,False
326,71.432,9.592572927474976,-61.83942707252503,326,False
327,71.632,9.693183898925781,-61.938816101074224,327,False
328,71.832,9.79220199584961,-62.039798004150384,328,False
329,72.032,9.894081592559814,-62.13791840744018,329,False
330,72.232,9.99180269241333,-62.24019730758667,330,False
331,72.432,10.091893911361694,-62.34010608863831,331,False
332,72.632,10.213855981826782,-62.41814401817322,332,False
333,72.832,10.296428680419922,-62.53557131958007,333,False
334,73.032,10.400109767913818,-62.63189023208618,334,False
335,73.232,10.491805791854858,-62.74019420814514,335,False
336,73.432,10.593076944351196,-62.838923055648806,336,False
337,73.632,10.692195653915405,-62.9398043460846,337,False
338,73.832,10.791897773742676,-63.04010222625732,338,False
339,74.032,10.92479681968689,-63.10720318031311,339,False
340,74.232,10.999076843261719,-63.23292315673828,340,False
341,74.432,11.091736793518066,-63.340263206481936,341,False
342,74.632,11.195062637329102,-63.4369373626709,342,False
